epoch,loss
1,0.9157284091819416
2,0.6781853003935381
3,0.5218783278356899
4,0.44805857945572247
5,0.38410538705912506
6,0.33784200792962854
7,0.3157874278046868
8,0.30178049206733704
9,0.2898048521442847
10,0.2726772888140245
11,0.255123034119606
12,0.23685865849256516
13,0.22019891914996234
14,0.2209894352338531
15,0.20813968642191452
16,0.20777546004815536
17,0.2083561732010408
18,0.20229631730101325
19,0.19715586304664612
20,0.19904198362068695
21,0.19517774405804547
22,0.1928208592263135
23,0.1897428042509339
24,0.1895707476545464
25,0.18546284769069066
26,0.18054831739176402
27,0.17900576103817334
28,0.17779437350955876
29,0.17714408920569855
30,0.17838577926158905
31,0.18045704608613794
32,0.17527298459952528
33,0.17586846107786352
34,0.17399734969843517
35,0.17225643179633401
36,0.17188595709475604
37,0.16927418011155995
38,0.1690279164097526
39,0.16732987795363774
40,0.16594529287381607
41,0.16593072665008632
42,0.16503336382183162
43,0.16664168848232788
44,0.16396064920858902
45,0.161428474905816
46,0.16236869381232696
47,0.16158286753025922
48,0.15875943987206978
49,0.16197709502144295
50,0.15842951800335536
