epoch,loss
1,1.8816647635947028
2,1.4374090477717008
3,1.0991426421583985
4,0.888457668599465
5,0.7833514934821094
6,0.6882766378440446
7,0.639452205544753
8,0.6025605802913364
9,0.5903911491949781
10,0.5719317180647266
11,0.5561491770281208
12,0.5562996068446756
13,0.5448261660637616
14,0.5292744140402018
15,0.5277823516790815
16,0.49481747472028936
17,0.49802669887062456
18,0.4943689670922945
19,0.4698356628417969
20,0.46270233212615086
21,0.44101534846017687
22,0.4248523751179949
23,0.43055962920188906
24,0.4217635831815733
25,0.413224935317211
26,0.4176366589481024
27,0.4148377343905058
28,0.41168869013408965
29,0.4012936695016545
30,0.4000974681737612
31,0.39559770314384707
32,0.38980314367109065
33,0.39152450407151695
34,0.38765995802639197
35,0.3759035103612666
36,0.375130516633713
37,0.37614388671710336
38,0.3659404526511542
39,0.3680325264982182
40,0.3629205425866216
41,0.36186673032294076
42,0.35314367220556137
43,0.3529401459067846
44,0.34754899663033245
45,0.3523439538135803
46,0.35158358835916725
47,0.3449982851529293
48,0.34789643446318536
49,0.3385192043489689
50,0.3452512797691839
