epoch,loss
1,0.8129007328640331
2,0.5426174009388144
3,0.38717198371887207
4,0.3035270734266801
5,0.25226885825395584
6,0.2200052643364126
7,0.19935708628459411
8,0.19020472399213098
9,0.18227980455214327
10,0.18033706498416988
11,0.17236093601042574
12,0.16838276081464507
13,0.1686340214853937
14,0.16478733481331306
15,0.16167607768015427
16,0.16186893731355667
17,0.15901992029764436
18,0.15890487148003143
19,0.16090644828297876
20,0.15804305063052612
21,0.15668149055405098
22,0.15196197378364476
23,0.1512081680650061
24,0.14890475198626518
25,0.1490621163763783
26,0.14781896803866734
27,0.15269409695809538
28,0.15074331652034412
29,0.15642152320254932
30,0.14483325589786877
31,0.14225174588235942
32,0.1434108926491304
33,0.14200071109966797
34,0.1391649493439631
35,0.1403046270663088
36,0.14131586930968545
37,0.14622490988536316
38,0.1428098902106285
39,0.13863546164198357
40,0.13945341923020102
41,0.1429800225252455
42,0.13950609415769577
43,0.14045349339192564
44,0.13887453959746796
45,0.13407229869203133
46,0.13688509572635998
47,0.13936887308955193
48,0.14276510985060173
49,0.1341117186979814
50,0.13494514673948288
