epoch,loss
1,1.9801794595855604
2,1.4959406863013618
3,1.1588294166455166
4,0.8760024748260169
5,0.7171465513517531
6,0.6152124413483434
7,0.5595745545497044
8,0.5320653571499337
9,0.4955435879796529
10,0.4964820987886662
11,0.4828308063445331
12,0.46591531226960875
13,0.44885365079632766
14,0.4748392524479104
15,0.4292250167122848
16,0.452565758434131
17,0.4599290997004337
18,0.4402172617346263
19,0.4314016307000634
20,0.44768776829294166
21,0.43063756021664296
22,0.4301954352598396
23,0.4210347846257601
24,0.40384685431452966
25,0.39825622400791527
26,0.40111964143437445
27,0.40318341405271624
28,0.4039060822064928
29,0.4059269141807831
30,0.4058767523268144
31,0.41150880627494923
32,0.3969040797768737
33,0.395683613097925
34,0.3739903923418882
35,0.3746036984937654
36,0.3795217138828991
37,0.3784999389871419
38,0.3835131613899478
39,0.38193968099227055
40,0.36883104544320555
41,0.36856546091090003
42,0.36192555777031743
43,0.36443519733792584
44,0.3542216183041497
45,0.3637642328687709
46,0.36542916469436754
47,0.35692820943516795
48,0.36053062092057236
49,0.3547354982911254
50,0.35041631237208415
